Campus,Building Name,Latitude,Longitude
Danforth,MILLBROOK PARKING GARAGE,38.64997205593665,-90.30934569103741
Danforth,MILLBROOK PARKING GARAGE,38.64986609988413,-90.30822775832759
Danforth,MILLBROOK POOL DRESSING HOUSE,38.65068790477048,-90.31270760145301
Danforth,MILLBROOK POOL PUMPHOUSE,38.650566815385844,-90.31272341076395
Danforth,McKELVEY HALL,38.64822695479407,-90.30153363867613
Danforth,McMILLAN ADDITION,38.64981765857208,-90.31000211247341
Danforth,McMILLAN HALL,38.64943439548017,-90.30992645181915
Danforth,McMILLEN LAB,38.649589100201915,-90.30758606361036
Danforth,Mechanical,38.64750560810798,-90.30900691966077
Danforth,Mechanical,38.647727182332495,-90.30885207217868
Danforth,Mechanical,38.64987219543973,-90.31395678471331
Danforth,Mechanical,38.646479354083986,-90.302350260445
